,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,minecraft:green_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:cyan_stained_glass,minecraft:cyan_stained_glass,minecraft:cyan_stained_glass
2,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:cyan_stained_glass,minecraft:white_stained_glass
3,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass
4,minecraft:green_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:light_gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass
5,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:gray_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:light_gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass
6,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:light_gray_stained_glass,minecraft:black_stained_glass,minecraft:gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass
7,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:black_stained_glass,minecraft:white_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:gray_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass
8,minecraft:lime_stained_glass,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:black_stained_glass,minecraft:white_stained_glass,minecraft:light_gray_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass
9,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:light_gray_stained_glass,minecraft:black_stained_glass,minecraft:light_gray_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:light_gray_stained_glass,minecraft:white_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass
10,minecraft:green_stained_glass,minecraft:green_stained_glass,minecraft:brown_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:light_gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:white_stained_glass,minecraft:light_gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:light_gray_stained_glass,minecraft:black_stained_glass,minecraft:black_stained_glass,minecraft:gray_stained_glass
